,portero_l,defensas_l,centrocampistas_l,delanteros_l,alineacion_l,local,Resultado_l,visitante,alineacion_v,portero_v,defensas_v,centrocampistas_v,delanteros_v,victorias_l,empates,victorias_v
122,78.16666666666667,63.84666666666667,65.5,67.375,4-3-3,REAL VALLADOLID,G,ELCHE,4-3-3,73.16666666666667,62.958333333333336,61.05555555555555,66.22222222222223,17,15,16
123,78.83333333333333,60.41625,66.25,67.75,4-4-2,CELTA,P,OSASUNA,4-3-3,79.0,61.041666666666664,61.405,64.16666666666667,35,10,29
124,86.33333333333333,69.99958333333333,70.77777777777777,74.22222222222223,4-3-3,BARCELONA,G,ALMERIA,5-3-2,72.01620370370371,55.18366666666666,62.916666666666664,64.16666666666667,12,2,0
125,85.83333333333333,62.083333333333336,74.44444444444444,74.38888888888889,4-4-2,ATLETICO,E,ESPANYOL,4-2-3-1,76.33333333333333,64.371,67.90777777777778,65.33333333333333,99,33,59
126,77.66666666666667,62.0,70.08333333333333,63.333333333333336,4-4-2,R. SOCIEDAD,E,VALENCIA,4-3-3,76.41666666666667,67.66666666666667,66.72222222222223,66.38888888888889,50,40,68
127,76.83333333333333,64.625,67.625,70.41666666666667,4-2-3-1,VILLARREAL,P,MALLORCA,5-4-1,70.33333333333333,63.166666666666664,64.7975,54.5,20,12,14
128,78.5,60.800000000000004,68.25,62.166666666666664,4-2-3-1,REAL BETIS,E,SEVILLA,4-2-3-1,73.0,69.0,71.53333333333333,68.08333333333333,40,32,65
129,70.5,60.958333333333336,63.888888888888886,64.11111111111111,4-2-3-1,RAYO VALLECANO,G,REAL MADRID,4-3-3,81.5,74.875,74.22222222222221,73.77777777777779,6,4,31
130,73.16666666666667,62.833333333333336,58.61111111111111,64.0,4-2-3-1,ELCHE,P,GIRONA,4-5-1,78.33333333333333,57.13933333333333,63.5,58.5,15,10,3
131,77.16666666666667,64.66666666666667,66.29166666666667,60.69444444444445,4-5-1,ATHLETIC,G,REAL VALLADOLID,4-4-2,78.16666666666667,62.76,62.958333333333336,66.0,46,30,29
132,79.0,59.463750000000005,62.54777777777778,70.44444444444444,4-2-3-1,OSASUNA,P,BARCELONA,4-3-3,86.33333333333333,68.62458333333333,70.77777777777777,74.22222222222223,18,19,53
133,72.01620370370371,58.47958333333333,62.041666666666664,66.8888888888889,4-2-3-1,ALMERIA,G,GETAFE,5-3-2,77.0,60.20966666666667,68.6111111111111,64.91666666666667,4,8,10
134,73.0,67.33333333333333,71.125,68.08333333333333,4-2-3-1,SEVILLA,P,R. SOCIEDAD,4-4-2,77.66666666666667,60.98125000000001,69.83333333333333,63.333333333333336,49,35,50
135,76.33333333333333,63.17208333333334,67.90777777777778,66.33333333333333,4-2-3-1,ESPANYOL,P,VILLARREAL,4-3-3,76.83333333333333,61.583333333333336,67.72222222222221,70.01888888888888,14,21,17
136,70.33333333333333,62.36666666666667,63.67250000000001,54.5,5-4-1,MALLORCA,G,ATLETICO,4-4-2,85.83333333333333,61.666666666666664,74.33333333333333,74.38888888888889,19,14,28
137,70.5,60.958333333333336,64.66666666666667,67.6111111111111,4-2-3-1,RAYO VALLECANO,E,CELTA,5-2-3,78.83333333333333,60.633,69.16666666666667,67.66666666666667,21,17,22
138,76.41666666666667,67.58916666666666,66.85166666666667,63.833333333333336,4-3-3,VALENCIA,G,REAL BETIS,4-2-3-1,76.83333333333333,61.53766666666667,66.0,63.860833333333325,69,29,41
139,81.5,75.29166666666667,73.45833333333333,72.75,4-3-3,REAL MADRID,G,CADIZ,4-2-3-1,72.5,63.26208333333333,63.333333333333336,65.66666666666667,24,8,5
140,78.33333333333333,57.49733333333333,61.166666666666664,54.833333333333336,4-2-3-1,GIRONA,E,RAYO VALLECANO,4-2-3-1,70.5,58.416666666666664,66.1388888888889,64.11111111111111,9,4,10
